airline,airlineid,source,destination,route,total_stops,departuredatetime,arrivaldatetime,durationminutes,dayofweek,isweekend,price,Total_Stops,DepartureHour,DepartureDay,DepartureMonth,DepartureWeekday,IsWeekend,DaysUntilDeparture,price_min,price_max,price_avg,Label
3,3,0,4,BLR-DEL,0,2019-03-24 22:20:00,2019-03-24 01:10:00,0.03411131059245961,6,1,3897,0,0.9565217391304348,24,3,6,1,23,3257,79512,8017.424021838035,1
1,1,2,0,CCU-BLR,2,2019-05-01 05:50:00,2019-05-01 13:15:00,0.13285457809694795,2,0,7662,2,0.21739130434782608,1,5,2,0,61,3480,31945,9158.164693593315,1
4,4,4,3,DEL-COK,2,2019-06-09 09:25:00,2019-06-09 04:25:00,0.38240574506283664,6,1,13882,2,0.3913043478260869,9,6,6,1,100,3876,52285,10539.014103129131,0
3,3,2,0,CCU-BLR,1,2019-05-12 18:05:00,2019-05-12 23:30:00,0.08976660682226212,6,1,6218,1,0.7826086956521738,12,5,6,1,72,3480,31945,9158.164693593315,1
3,3,0,4,BLR-DEL,1,2019-03-01 16:50:00,2019-03-01 21:35:00,0.07540394973070018,4,0,13302,1,0.6956521739130435,1,3,4,0,0,3257,79512,8017.424021838035,0
8,8,2,0,CCU-BLR,0,2019-06-24 09:00:00,2019-06-24 11:25:00,0.02513464991023339,0,0,3873,0,0.3913043478260869,24,6,0,0,115,3480,31945,9158.164693593315,1
4,4,0,4,BLR-DEL,1,2019-03-12 18:55:00,2019-03-12 10:25:00,0.30700179533213645,1,0,11087,1,0.7826086956521738,12,3,1,0,11,3257,79512,8017.424021838035,0
4,4,0,4,BLR-DEL,1,2019-03-01 08:00:00,2019-03-01 05:05:00,0.4272890484739677,4,0,22270,1,0.34782608695652173,1,3,4,0,0,3257,79512,8017.424021838035,0
4,4,0,4,BLR-DEL,1,2019-03-12 08:55:00,2019-03-12 10:25:00,0.5224416517055656,1,0,11087,1,0.34782608695652173,12,3,1,0,11,3257,79512,8017.424021838035,0
6,6,4,3,DEL-COK,1,2019-05-27 11:25:00,2019-05-27 19:15:00,0.14183123877917414,0,0,8625,1,0.4782608695652174,27,5,0,0,87,3876,52285,10539.014103129131,1
