Airline,AirlineID,Source,Destination,Route,Total_Stops,DepartureDatetime,ArrivalDatetime,DurationMinutes,DayOfWeek,IsWeekend,Price
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-03-24 22:20:00,2019-03-24 01:10:00,170,6,1,3897
Air India,1,CCU,BLR,CCU-BLR,2,2019-05-01 05:50:00,2019-05-01 13:15:00,445,2,0,7662
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-09 09:25:00,2019-06-09 04:25:00,1140,6,1,13882
IndiGo,3,CCU,BLR,CCU-BLR,1,2019-05-12 18:05:00,2019-05-12 23:30:00,325,6,1,6218
IndiGo,3,BLR,DEL,BLR-DEL,1,2019-03-01 16:50:00,2019-03-01 21:35:00,285,4,0,13302
SpiceJet,8,CCU,BLR,CCU-BLR,0,2019-06-24 09:00:00,2019-06-24 11:25:00,145,0,0,3873
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-12 18:55:00,2019-03-12 10:25:00,930,1,0,11087
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-01 08:00:00,2019-03-01 05:05:00,1265,4,0,22270
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-12 08:55:00,2019-03-12 10:25:00,1530,1,0,11087
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-27 11:25:00,2019-05-27 19:15:00,470,0,0,8625
Air India,1,DEL,COK,DEL-COK,1,2019-06-01 09:45:00,2019-06-01 23:00:00,795,5,1,8907
IndiGo,3,CCU,BLR,CCU-BLR,0,2019-04-18 20:20:00,2019-04-18 22:55:00,155,3,0,4174
Air India,1,MAA,CCU,MAA-CCU,0,2019-06-24 11:40:00,2019-06-24 13:55:00,135,0,0,4667
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-09 21:10:00,2019-05-09 09:20:00,730,3,0,9663
IndiGo,3,CCU,BLR,CCU-BLR,0,2019-04-24 17:15:00,2019-04-24 19:50:00,155,2,0,4804
Air India,1,DEL,COK,DEL-COK,2,2019-03-03 16:40:00,2019-03-03 19:15:00,1595,6,1,14011
SpiceJet,8,DEL,COK,DEL-COK,1,2019-04-15 08:45:00,2019-04-15 13:15:00,270,0,0,5830
Jet Airways,4,DEL,COK,DEL-COK,1,2019-06-12 14:00:00,2019-06-12 12:35:00,1355,2,0,10262
Air India,1,DEL,COK,DEL-COK,2,2019-06-12 20:15:00,2019-06-12 19:15:00,1380,2,0,13381
Jet Airways,4,DEL,COK,DEL-COK,1,2019-05-27 16:00:00,2019-05-27 12:35:00,1235,0,0,12898
GoAir,2,DEL,COK,DEL-COK,1,2019-03-06 14:10:00,2019-03-06 19:20:00,310,2,0,19495
Air India,1,BLR,DEL,BLR-DEL,1,2019-03-21 22:00:00,2019-03-21 13:20:00,920,3,0,6955
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-04-03 04:00:00,2019-04-03 06:50:00,170,2,0,3943
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-05-01 18:55:00,2019-05-01 21:50:00,175,2,0,4823
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-06 18:55:00,2019-05-06 08:15:00,800,0,0,7757
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-09 21:25:00,2019-06-09 12:35:00,910,6,1,13292
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-01 21:50:00,2019-06-01 03:35:00,345,5,1,8238
GoAir,2,DEL,COK,DEL-COK,1,2019-05-15 07:00:00,2019-05-15 12:55:00,355,2,0,7682
Vistara,10,BLR,DEL,BLR-DEL,0,2019-06-18 09:45:00,2019-06-18 12:35:00,170,1,0,4668
