Airline,AirlineID,Source,Destination,Route,Total_Stops,DepartureDatetime,ArrivalDatetime,DurationMinutes,DayOfWeek,IsWeekend,Price
IndiGo,3,BLR,DEL,BLR-DEL,0,3/24/2019 22:20,3/24/2019 1:10,170,6,1,3897
Air India,1,CCU,BLR,CCU-BLR,2,5/1/2019 5:50,5/1/2019 13:15,445,2,0,7662
Jet Airways,4,DEL,COK,DEL-COK,2,6/9/2019 9:25,6/9/2019 4:25,1140,6,1,13882
IndiGo,3,CCU,BLR,CCU-BLR,1,5/12/2019 18:05,5/12/2019 23:30,325,6,1,6218
IndiGo,3,BLR,DEL,BLR-DEL,1,3/1/2019 16:50,3/1/2019 21:35,285,4,0,13302
SpiceJet,8,CCU,BLR,CCU-BLR,0,6/24/2019 9:00,6/24/2019 11:25,145,0,0,3873
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/12/2019 18:55,3/12/2019 10:25,930,1,0,11087
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/1/2019 8:00,3/1/2019 5:05,1265,4,0,22270
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/12/2019 8:55,3/12/2019 10:25,1530,1,0,11087
Multiple carriers,6,DEL,COK,DEL-COK,1,5/27/2019 11:25,5/27/2019 19:15,470,0,0,8625
Air India,1,DEL,COK,DEL-COK,1,6/1/2019 9:45,6/1/2019 23:00,795,5,1,8907
IndiGo,3,CCU,BLR,CCU-BLR,0,4/18/2019 20:20,4/18/2019 22:55,155,3,0,4174
Air India,1,MAA,CCU,MAA-CCU,0,6/24/2019 11:40,6/24/2019 13:55,135,0,0,4667
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/9/2019 21:10,5/9/2019 9:20,730,3,0,9663
IndiGo,3,CCU,BLR,CCU-BLR,0,4/24/2019 17:15,4/24/2019 19:50,155,2,0,4804
Air India,1,DEL,COK,DEL-COK,2,3/3/2019 16:40,3/3/2019 19:15,1595,6,1,14011
SpiceJet,8,DEL,COK,DEL-COK,1,4/15/2019 8:45,4/15/2019 13:15,270,0,0,5830
Jet Airways,4,DEL,COK,DEL-COK,1,6/12/2019 14:00,6/12/2019 12:35,1355,2,0,10262
Air India,1,DEL,COK,DEL-COK,2,6/12/2019 20:15,6/12/2019 19:15,1380,2,0,13381
Jet Airways,4,DEL,COK,DEL-COK,1,5/27/2019 16:00,5/27/2019 12:35,1235,0,0,12898
GoAir,2,DEL,COK,DEL-COK,1,3/6/2019 14:10,3/6/2019 19:20,310,2,0,19495
Air India,1,BLR,DEL,BLR-DEL,1,3/21/2019 22:00,3/21/2019 13:20,920,3,0,6955
IndiGo,3,BLR,DEL,BLR-DEL,0,4/3/2019 4:00,4/3/2019 6:50,170,2,0,3943
IndiGo,3,BLR,DEL,BLR-DEL,0,5/1/2019 18:55,5/1/2019 21:50,175,2,0,4823
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/6/2019 18:55,5/6/2019 8:15,800,0,0,7757
Jet Airways,4,DEL,COK,DEL-COK,2,6/9/2019 21:25,6/9/2019 12:35,910,6,1,13292
IndiGo,3,DEL,COK,DEL-COK,1,6/1/2019 21:50,6/1/2019 3:35,345,5,1,8238
GoAir,2,DEL,COK,DEL-COK,1,5/15/2019 7:00,5/15/2019 12:55,355,2,0,7682
Vistara,10,BLR,DEL,BLR-DEL,0,6/18/2019 9:45,6/18/2019 12:35,170,1,0,4668
Vistara,10,MAA,CCU,MAA-CCU,0,6/15/2019 7:05,6/15/2019 9:20,135,5,1,3687
Vistara,10,MAA,CCU,MAA-CCU,0,6/18/2019 7:05,6/18/2019 9:20,135,1,0,3687
Air India,1,CCU,BLR,CCU-BLR,2,5/1/2019 9:50,5/1/2019 23:15,805,2,0,13227
IndiGo,3,BLR,DEL,BLR-DEL,0,4/6/2019 4:00,4/6/2019 6:50,170,5,1,4423
Jet Airways,4,DEL,COK,DEL-COK,2,6/15/2019 14:35,6/15/2019 12:35,1320,5,1,10919
Jet Airways,4,DEL,COK,DEL-COK,1,5/18/2019 7:05,5/18/2019 12:35,330,5,1,12373
IndiGo,3,DEL,COK,DEL-COK,1,6/27/2019 10:35,6/27/2019 21:00,625,3,0,5894
SpiceJet,8,CCU,BLR,CCU-BLR,1,5/21/2019 15:05,5/21/2019 20:20,315,1,0,4649
Air India,1,CCU,BLR,CCU-BLR,0,5/18/2019 14:15,5/18/2019 16:45,150,5,1,6245
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/6/2019 7:00,3/6/2019 13:15,375,2,0,19225
